"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 96","645.5","640.4","657.0","627.6","-","0.79%"
"Feb 96","640.4","636.0","664.2","633.7","-","0.69%"
"Jan 96","636.0","615.9","636.2","597.3","-","3.26%"
"Dec 95","615.9","605.4","622.9","605.0","-","1.74%"
"Nov 95","605.4","581.5","608.7","581.0","-","4.10%"
"Oct 95","581.5","584.4","590.7","571.5","-","-0.50%"
"Sep 95","584.4","561.9","587.6","561.0","-","4.01%"
"Aug 95","561.9","562.1","565.6","553.0","-","-0.03%"
"Jul 95","562.1","544.8","565.4","542.5","-","3.18%"
"Jun 95","544.8","533.4","551.1","526.0","-","2.13%"
"May 95","533.4","514.8","533.4","513.0","-","3.63%"
"Apr 95","514.7","500.7","515.3","500.2","-","2.80%"
"Mar 95","500.7","487.4","508.1","479.7","-","2.73%"
"Feb 95","487.4","470.4","489.2","469.3","-","3.61%"
"Jan 95","470.4","459.2","471.4","457.2","-","2.43%"
"Dec 94","459.3","453.5","462.7","442.9","-","1.23%"
"Nov 94","453.7","472.3","472.3","444.2","-","-3.95%"
"Oct 94","472.4","462.7","474.7","449.3","-","2.08%"
"Sep 94","462.7","475.5","475.5","458.5","-","-2.69%"
"Aug 94","475.5","458.3","477.6","456.1","-","3.76%"
"Jul 94","458.3","444.3","459.3","443.6","-","3.15%"
"Jun 94","444.3","456.5","463.2","439.8","-","-2.68%"
"May 94","456.5","450.9","457.8","440.8","-","1.24%"
"Apr 94","450.9","445.7","452.8","435.9","-","1.15%"
"Mar 94","445.8","467.2","471.1","436.2","-","-4.57%"
"Feb 94","467.1","481.6","482.2","464.3","-","-3.00%"
"Jan 94","481.6","466.5","482.9","464.4","-","3.25%"
"Dec 93","466.5","461.9","471.3","461.5","-","1.01%"
"Nov 93","461.8","467.8","469.1","454.4","-","-1.29%"
"Oct 93","467.8","458.9","471.1","456.4","-","1.94%"
"Sep 93","458.9","463.5","463.8","449.6","-","-1.00%"
"Aug 93","463.6","448.1","463.6","446.9","-","3.44%"
"Jul 93","448.1","450.5","451.1","441.4","-","-0.53%"
"Jun 93","450.5","450.2","455.6","442.5","-","0.08%"
"May 93","450.2","440.2","454.5","436.9","-","2.27%"
"Apr 93","440.2","451.7","452.6","432.3","-","-2.54%"
"Mar 93","451.7","443.4","456.8","441.1","-","1.87%"
"Feb 93","443.4","438.8","450.0","428.3","-","1.05%"
"Jan 93","438.8","435.7","442.7","426.9","-","0.70%"
"Dec 92","435.7","431.4","442.6","428.6","-","1.01%"
"Nov 92","431.4","418.7","431.9","415.6","-","3.03%"
"Oct 92","418.7","417.8","421.2","396.8","-","0.21%"
"Sep 92","417.8","414.0","425.3","412.7","-","0.91%"
"Aug 92","414.0","424.2","425.1","408.3","-","-2.40%"
"Jul 92","424.2","408.2","424.8","407.2","-","3.94%"
"Jun 92","408.1","415.4","417.3","399.9","-","-1.74%"
"May 92","415.4","415.0","418.8","409.9","-","0.10%"
"Apr 92","415.0","403.7","416.3","392.4","-","2.79%"
"Mar 92","403.7","412.7","413.8","401.9","-","-2.18%"
"Feb 92","412.7","408.8","418.1","406.3","-","0.96%"
"Jan 92","408.8","417.0","421.2","408.6","-","-1.99%"
"Dec 91","417.1","375.1","418.3","371.4","-","11.16%"
"Nov 91","375.2","392.5","398.2","371.6","-","-4.39%"
"Oct 91","392.5","387.9","393.8","376.1","-","1.18%"
"Sep 91","387.9","395.4","397.6","382.8","-","-1.91%"
"Aug 91","395.4","387.8","396.8","374.1","-","1.96%"
"Jul 91","387.8","371.2","387.8","370.9","-","4.49%"
"Jun 91","371.2","389.8","389.8","368.0","-","-4.79%"
"May 91","389.8","375.4","389.9","365.8","-","3.86%"
"Apr 91","375.3","375.2","391.3","370.3","-","0.03%"
"Mar 91","375.2","367.1","379.7","363.7","-","2.22%"
"Feb 91","367.1","343.9","371.0","340.4","-","6.73%"
"Jan 91","343.9","330.2","343.9","309.4","-","4.15%"
"Dec 90","330.2","322.2","334.0","322.0","-","2.48%"
"Nov 90","322.2","304.0","323.0","301.6","-","5.99%"
"Oct 90","304.0","306.1","319.7","294.5","-","-0.67%"
